Storenumber	Fiscal Transaction Date	Fiscal Year	Fiscal Period	Fiscal Week	Orders
6014	12/29/14	2015	1	1	163
6014	12/30/14	2015	1	1	140
6014	12/31/14	2015	1	1	207
6014	1/1/15	2015	1	1	174
6014	1/2/15	2015	1	1	195
6014	1/3/15	2015	1	1	219
6014	1/4/15	2015	1	1	176
6014	1/5/15	2015	1	2	68
6014	1/6/15	2015	1	2	126
6014	1/7/15	2015	1	2	126
6014	1/8/15	2015	1	2	150
6014	1/9/15	2015	1	2	304
6014	1/10/15	2015	1	2	250
6014	1/11/15	2015	1	2	205
6014	1/12/15	2015	1	3	138
6014	1/13/15	2015	1	3	100
6014	1/14/15	2015	1	3	135
6014	1/15/15	2015	1	3	117
6014	1/16/15	2015	1	3	284
6014	1/17/15	2015	1	3	242
6014	1/18/15	2015	1	3	186
6014	1/19/15	2015	1	4	126
6014	1/20/15	2015	1	4	82
6014	1/21/15	2015	1	4	115
6014	1/22/15	2015	1	4	149
6014	1/23/15	2015	1	4	229
6014	1/24/15	2015	1	4	234
6014	1/25/15	2015	1	4	132
6014	1/26/15	2015	2	5	91
6014	1/27/15	2015	2	5	110
6014	1/28/15	2015	2	5	169
6014	1/29/15	2015	2	5	125
6014	1/30/15	2015	2	5	262
6014	1/31/15	2015	2	5	225
6014	2/1/15	2015	2	5	216
6014	2/2/15	2015	2	6	75
6014	2/3/15	2015	2	6	103
6014	2/4/15	2015	2	6	126
6014	2/5/15	2015	2	6	160
6014	2/6/15	2015	2	6	266
6014	2/7/15	2015	2	6	218
6014	2/8/15	2015	2	6	168
6014	2/9/15	2015	2	7	114
6014	2/10/15	2015	2	7	105
6014	2/11/15	2015	2	7	139
6014	2/12/15	2015	2	7	158
6014	2/13/15	2015	2	7	291
6014	2/14/15	2015	2	7	202
6014	2/15/15	2015	2	7	174
6014	2/16/15	2015	2	8	143
6014	2/17/15	2015	2	8	109
6014	2/18/15	2015	2	8	113
6014	2/19/15	2015	2	8	149
6014	2/20/15	2015	2	8	255
6014	2/21/15	2015	2	8	163
6014	2/22/15	2015	2	8	136
6014	2/23/15	2015	3	9	107
6014	2/24/15	2015	3	9	104
6014	2/25/15	2015	3	9	140
6014	2/26/15	2015	3	9	167
6014	2/27/15	2015	3	9	294
6014	2/28/15	2015	3	9	227
6014	3/1/15	2015	3	9	174
6014	3/2/15	2015	3	10	102
6014	3/3/15	2015	3	10	109
6014	3/4/15	2015	3	10	142
6014	3/5/15	2015	3	10	168
6014	3/6/15	2015	3	10	285
6014	3/7/15	2015	3	10	240
6014	3/8/15	2015	3	10	183
6014	3/9/15	2015	3	11	110
6014	3/10/15	2015	3	11	121
6014	3/11/15	2015	3	11	127
6014	3/12/15	2015	3	11	168
6014	3/13/15	2015	3	11	306
6014	3/14/15	2015	3	11	236
6014	3/15/15	2015	3	11	185
6014	3/16/15	2015	3	12	112
6014	3/17/15	2015	3	12	131
6014	3/18/15	2015	3	12	145
6014	3/19/15	2015	3	12	174
6014	3/20/15	2015	3	12	304
6014	3/21/15	2015	3	12	233
6014	3/22/15	2015	3	12	164
6014	3/23/15	2015	4	13	131
6014	3/24/15	2015	4	13	163
6014	3/25/15	2015	4	13	149
6014	3/26/15	2015	4	13	311
6014	3/27/15	2015	4	13	290
6014	3/28/15	2015	4	13	217
6014	3/29/15	2015	4	13	186
6014	3/30/15	2015	4	14	131
6014	3/31/15	2015	4	14	106
6014	4/1/15	2015	4	14	160
6014	4/2/15	2015	4	14	158
6014	4/3/15	2015	4	14	272
6014	4/4/15	2015	4	14	231
6014	4/6/15	2015	4	15	139
6014	4/7/15	2015	4	15	125
6014	4/8/15	2015	4	15	150
6014	4/9/15	2015	4	15	172
6014	4/10/15	2015	4	15	297
6014	4/11/15	2015	4	15	264
6014	4/12/15	2015	4	15	177
6014	4/13/15	2015	4	16	102
6014	4/14/15	2015	4	16	146
6014	4/15/15	2015	4	16	153
6014	4/16/15	2015	4	16	169
6014	4/17/15	2015	4	16	309
6014	4/18/15	2015	4	16	285
6014	4/19/15	2015	4	16	170
6014	4/20/15	2015	5	17	98
6014	4/21/15	2015	5	17	137
6014	4/22/15	2015	5	17	171
6014	4/23/15	2015	5	17	154
6014	4/24/15	2015	5	17	316
6014	4/25/15	2015	5	17	242
6014	4/26/15	2015	5	17	179
6014	4/27/15	2015	5	18	103
6014	4/28/15	2015	5	18	135
6014	4/29/15	2015	5	18	140
6014	4/30/15	2015	5	18	177
6014	5/1/15	2015	5	18	329
6014	5/2/15	2015	5	18	250
6014	5/3/15	2015	5	18	186
6014	5/4/15	2015	5	19	127
6014	5/5/15	2015	5	19	106
6014	5/6/15	2015	5	19	144
6014	5/7/15	2015	5	19	145
6014	5/8/15	2015	5	19	300
6014	5/9/15	2015	5	19	231
6014	5/10/15	2015	5	19	168
6014	5/11/15	2015	5	20	130
6014	5/12/15	2015	5	20	137
6014	5/13/15	2015	5	20	128
6014	5/14/15	2015	5	20	163
6014	5/15/15	2015	5	20	309
6014	5/16/15	2015	5	20	237
6014	5/17/15	2015	5	20	165
6014	5/18/15	2015	6	21	103
6014	5/19/15	2015	6	21	131
6014	5/20/15	2015	6	21	155
6014	5/21/15	2015	6	21	172
6014	5/22/15	2015	6	21	266
6014	5/23/15	2015	6	21	215
6014	5/24/15	2015	6	21	163
6014	5/25/15	2015	6	22	125
6014	5/26/15	2015	6	22	131
6014	5/27/15	2015	6	22	126
6014	5/28/15	2015	6	22	147
6014	5/29/15	2015	6	22	290
6014	5/30/15	2015	6	22	214
6014	5/31/15	2015	6	22	192
6014	6/1/15	2015	6	23	123
6014	6/2/15	2015	6	23	113
6014	6/3/15	2015	6	23	151
6014	6/4/15	2015	6	23	156
6014	6/5/15	2015	6	23	256
6014	6/6/15	2015	6	23	214
6014	6/7/15	2015	6	23	176
6014	6/8/15	2015	6	24	110
6014	6/9/15	2015	6	24	127
6014	6/10/15	2015	6	24	170
6014	6/11/15	2015	6	24	175
6014	6/12/15	2015	6	24	243
6014	6/13/15	2015	6	24	168
6014	6/14/15	2015	6	24	157
6014	6/15/15	2015	7	25	123
6014	6/16/15	2015	7	25	129
6014	6/17/15	2015	7	25	128
6014	6/18/15	2015	7	25	162
6014	6/19/15	2015	7	25	221
6014	6/20/15	2015	7	25	206
6014	6/21/15	2015	7	25	117
6014	6/22/15	2015	7	26	106
6014	6/23/15	2015	7	26	120
6014	6/24/15	2015	7	26	141
6014	6/25/15	2015	7	26	149
6014	6/26/15	2015	7	26	217
6014	6/27/15	2015	7	26	162
6014	6/28/15	2015	7	26	156
6014	6/29/15	2015	7	27	136
6014	6/30/15	2015	7	27	141
6014	7/1/15	2015	7	27	129
6014	7/2/15	2015	7	27	188
6014	7/3/15	2015	7	27	207
6014	7/4/15	2015	7	27	104
6014	7/5/15	2015	7	27	197
6014	7/6/15	2015	7	28	118
6014	7/7/15	2015	7	28	118
6014	7/8/15	2015	7	28	150
6014	7/9/15	2015	7	28	143
6014	7/10/15	2015	7	28	235
6014	7/11/15	2015	7	28	198
6014	7/12/15	2015	7	28	173
6014	7/13/15	2015	8	29	121
6014	7/14/15	2015	8	29	122
6014	7/15/15	2015	8	29	162
6014	7/16/15	2015	8	29	178
6014	7/17/15	2015	8	29	245
6014	7/18/15	2015	8	29	213
6014	7/19/15	2015	8	29	165
6014	7/20/15	2015	8	30	116
6014	7/21/15	2015	8	30	114
6014	7/22/15	2015	8	30	139
6014	7/23/15	2015	8	30	164
6014	7/24/15	2015	8	30	256
6014	7/25/15	2015	8	30	190
6014	7/26/15	2015	8	30	171
6014	7/27/15	2015	8	31	136
6014	7/28/15	2015	8	31	120
6014	7/29/15	2015	8	31	161
6014	7/30/15	2015	8	31	150
6014	7/31/15	2015	8	31	233
6014	8/1/15	2015	8	31	190
6014	8/2/15	2015	8	31	186
